Formula,Fractional Enrichment,Fractional Enrichment with zero,Label,Name,Sample,Truth Value_x,Intensity,Unlabeled Fragment,Indistinguishale_isotope,NA Corrected,NA Corrected with zero,Pool_total,Truth Value_y
C10H15N5O10P2,0.0,0.0,C13-label-9,ADP,091215_5i,False,0.0,ADP,{},2.5e-09,2.5e-09,94134.6080651,False
C10H15N5O10P2,0.0,0.0,C13-label-9,ADP,091215_120i,False,0.0,ADP,{},0.0536362048,0.0536362048,74211.6051908,False
C10H15N5O10P2,0.0024,0.0024,C13-label-9,ADP,091215_5M,False,216.654,ADP,{},219.085852968,219.085852968,92674.8205686,False
C10H15N5O10P2,0.0,0.0,C13-label-9,ADP,091215_240M,False,0.0,ADP,{},0.0001538169,0.0001538169,48335.2888504,False
C10H15N5O10P2,0.0043,0.0043,C13-label-9,ADP,091215_15i,False,330.1716,ADP,{},333.877653848,333.877653848,77410.1175752,False
C10H15N5O10P2,0.0,0.0,C13-label-9,ADP,091215_240i,False,0.0,ADP,{},0.0364890129,0.0364890129,60814.1278886,False
C10H15N5O10P2,0.0,0.0,C13-label-9,ADP,091215_15M,False,0.0,ADP,{},2.5e-09,2.5e-09,96192.29878,False
C10H15N5O10P2,0.0032,0.0032,C13-label-9,ADP,091215_120M,False,131.1144,ADP,{},132.583986269,132.583986269,41231.0085178,False
C10H15N5O10P2,0.0011,0.0011,C13-label-9,ADP,091215_3i,False,133.2823,ADP,{},134.778339571,134.778339571,127167.007536,False
C10H15N5O10P2,0.0023,0.0023,C13-label-9,ADP,091215_1M,False,179.0294,ADP,{},181.038932147,181.038932147,78287.9792728,False
C10H15N5O10P2,0.0014,0.0014,C13-label-9,ADP,091215_45i,False,176.5837,ADP,{},178.565211558,178.565211558,125202.79002,False
C10H15N5O10P2,0.0005,0.0005,C13-label-9,ADP,091215_3M,False,112.4296,ADP,{},113.691576361,113.691576361,223871.971567,False
C10H15N5O10P2,0.0,0.0,C13-label-9,ADP,091215_1i,False,0.0,ADP,{},2.5e-09,2.5e-09,91674.353709,False
C10H15N5O10P2,0.0011,0.0011,C13-label-9,ADP,091215_45M,False,111.6915,ADP,{},112.944278246,112.944278246,99417.7860969,False
C10H15N5O10P2,0.0023,0.0023,C13-label-9,ADP,091215_0i,False,215.263,ADP,{},217.679239563,217.679239563,92841.1462573,False
C10H15N5O10P2,0.0016,0.0016,C13-label-9,ADP,091215_0M,False,119.1162,ADP,{},120.453230868,120.453230868,76500.3248155,False
